word	count	source_files
13tetraen16ium	2	1
13tetraenoate	1	1
13tetrayl	4	2
13th	1358	7
13thbrightest	6	3
13thcentury	38	3
13thlargest	64	3
13thleast	30	3
13triene	2	2
13trienoic	4	2
13trihydroxydocosa8	4	2
13trihydroxydocosa9	4	2
13trihydroxydocosapentaenoate	2	1
13trihydroxydocosapentaenoic	2	1
13trimethylporphyrin2	10	3
13trimethyltetradeca4	7	3
13trimethyltetradecyl	3	3
13year	18	3
13z	2	2
13α	24	2
13αhydroxyspartein2one	1	1
13αpimara8	2	2
13αtetrayl	1	1
13β	2	1
13βmethyl13vinylpodocarp8	1	1
140th	22	6
140thmost	6	3
141a20	2	1
1420s	12	3
1432protein	1	1
1433s	1	1
143rd	16	3
144th	12	3
145deg	2	1
145th	52	6
145to155	12	3
1470s	28	3
149milelong	6	3
14a	32	2
14abeta	2	1
14adecahydro7	1	1
14alaleu15	1	1
14alpha	39	5
14alphademethylase	6	2
14alphadimethyl9beta	32	3
14alphamethyl	1	1
14amethanofuro	2	2
14atetrahydro4	1	1
14b	12	2
14beta	5	2
14betadihydroxytaxa4	1	1
14betahscalarane17alpha19diol	4	2
14betahydroxylase	4	3
14btetradecahydrocycloundeca	2	2
14btrimethyl3	2	2
14c	36	3
14co	1	1
14demethylase	6	3
14diene	114	3
14diene9ol	5	3
14dihydro15ketoprostaglandin	1	1
14dihydro15oxoprostaglandin	1	1
14dihydroretinol	3	1
14diol	1	1
14dione	2	2
14dioxo2	1	1
14e	3	1
14eicosatetraenoic	2	1
14em	2	1
14ethenomorphinan3ol	2	2
14hexadeoxy	2	2
14hydroxydaunomycin	1	1
14hydroxydaunorubicine	1	1
14hydroxylase	5	3
14hydroxylating	1	1
14icosatetraenoic	1	1
14july	12	3
14methano2	1	1
14methano2h	1	1
14methanodipyrido	4	2
14methylpentadec2enoic	3	2
14monooxygenase	5	3
14octahydro5	2	2
14oxidoreductase	1	1
14px	14	2
14r	7	2
14reductase	4	3
14s	1	1
14tetraen1oate	13	4
14tetraenoate	11	3
14tetraenoic	8	3
14tetrahydrooripavine	1	1
14tetrahydroprotoberberine	3	1
14tetramethylpentadecanal	1	1
14th	1329	7
14thcentury	32	3
14thhighest	8	3
14thlargest	66	3
14thlongest	12	3
14thmost	28	3
14to20	12	3
14trien1yl	3	1
14trienoate	7	1
14trienoic	4	2
14trienoylcoa	1	1
14year	12	3
14z	49	2
14z12hydro	2	1
14zeicosatetraenoic	3	1
14zeicosatetraenoyl	4	1
14zeicosatrienoic	1	1
14zeicosatrienoyl	2	1
14zicosatetraenoic	12	2
14α	1	1
14αtrimethyl5αcholesta9	1	1
14β	16	2
14ξ	30	3
1500s	52	3
150k	1	1
150kda	1	1
150kilometre	6	3
150milelong	6	3
150th	46	6
1516th	1	1
151a20	4	1
151d1a	2	1
1520s	12	3
15221c	2	1
1530s	12	3
1540s	24	3
154th	12	3
155th	52	6
156metre	8	3
1570s	12	3
157th	12	3
1580s	32	3
15901600s	2	1
1590s	36	3
15a	8	2
15alpha	1	1
15alphahydroxy	1	1
15alphahydroxylase	4	3
15august1945	12	3
15cassadiene11one	6	3
15cis4	2	1
15cishexadecatrienoylcoa	2	1
15cisphytoene	4	2
15cisphytoeneforming	1	1
15cycloc	1	1
15dehydrogenase	3	1
15dehydroprostaglandin	2	1
15demethoxyaclacinomycin	1	1
15demethoxyepsilonrhodomycinone	1	1
15demethylaclacinomycin	1	1
15desaturase	4	3
15diaza3λ	1	1
15dichloro18	2	2
15dichloro2	3	2
15dien18oic	2	2
15dien19oate	1	1
15diene	129	3
15diene19	1	1
15dieneforming	5	1
15dienoate	2	1
15dihydroxy11oxoprosta5	2	1
15dihydroxy9oxoprost13enoate	4	1
15dihydroxy9oxoprosta5	1	1
